Median age,Median age - Male,Median age - Female,id
21.2,10.8,28.6,1500000US261635377001
27.7,27.1,39.4,1500000US261635377002
46,46.2,42.4,1500000US261635377003
39.5,38,39.5,1500000US261635378001
38.8,38.2,42.2,1500000US261635378002
30.4,33.8,23.6,1500000US261635378003
52,47.3,59.7,1500000US261635381001
40,34.6,57.1,1500000US261635381002
47,37.6,49.2,1500000US261635382001
49.5,49.6,46.9,1500000US261635382002
30,31.8,28.4,1500000US261635383001
37.8,24.2,44.6,1500000US261635383002
41.4,41,42.8,1500000US261635384001
48.1,48.8,36.7,1500000US261635384002
44.6,41,45.7,1500000US261635384003
36.7,27.9,39.9,1500000US261635384004
41.3,41.6,32.8,1500000US261635385001
47.4,47.8,31.9,1500000US261635385002
56.8,33.7,59.8,1500000US261635385003
47.2,54.7,36.7,1500000US261635385004
45.4,33.9,45.9,1500000US261635385005
40.4,38.7,40.5,1500000US261635385006
32.7,30.6,37.8,1500000US261635385007
27.7,36.5,26.6,1500000US261635386001
41.4,41,43.9,1500000US261635386002
42,23.8,48.1,1500000US261635386003
42.5,42.3,46.1,1500000US261635386004
48.5,41.3,48.9,1500000US261635386005
39.7,43,39.1,1500000US261635386006
43.1,30.3,52.1,1500000US261635387001
32.2,31.2,32.6,1500000US261635387002
28.6,24.6,29.7,1500000US261635387003
45.1,36.5,45.8,1500000US261635388001
35.6,41.3,35.4,1500000US261635388002
52.9,27.9,58.3,1500000US261635389001
39.6,32.4,48.1,1500000US261635389002
47.1,47.2,42.7,1500000US261635389003
52.4,43.1,62,1500000US261635389004
39.1,39.5,27.9,1500000US261635390001
45,50.9,25.9,1500000US261635390002
50.9,56,27.8,1500000US261635390003
25.7,25.5,33,1500000US261635390004
47.7,40.1,53.9,1500000US261635391001
28.5,21.5,36.1,1500000US261635391002
32.3,26.9,46.9,1500000US261635392001
28.8,21.2,35,1500000US261635392002
47.6,41.6,47.7,1500000US261635392003
56.6,66.2,51.9,1500000US261635392004
44.9,24.9,62.6,1500000US261635392005
28.1,30.3,27.5,1500000US261635392006
59.9,56.3,63,1500000US261635393001
40.1,34.3,48.8,1500000US261635393002
51.1,49.2,51.4,1500000US261635393003
25.7,21.8,34.2,1500000US261635393004
40.8,36.6,45.9,1500000US261635394001
35.6,24.1,39.5,1500000US261635394002
