Total:,Not Hispanic or Latino,Hispanic or Latino,GEO_ID
1865,1849,16,1500000US261635385007
943,895,48,1500000US261635386001
703,703,0,1500000US261635386002
965,965,0,1500000US261635386003
787,787,0,1500000US261635386004
727,714,13,1500000US261635386005
1433,1433,0,1500000US261635386006
1033,1033,0,1500000US261635387001
1413,1413,0,1500000US261635387002
2076,2076,0,1500000US261635387003
857,839,18,1500000US261635388001
800,800,0,1500000US261635388002
824,824,0,1500000US261635389001
1009,1009,0,1500000US261635389002
900,889,11,1500000US261635389003
686,686,0,1500000US261635389004
878,878,0,1500000US261635390001
534,534,0,1500000US261635390002
545,545,0,1500000US261635390003
821,821,0,1500000US261635390004
686,664,22,1500000US261635391001
1078,1078,0,1500000US261635391002
584,584,0,1500000US261635392001
1913,1913,0,1500000US261635392002
890,890,0,1500000US261635392003
275,275,0,1500000US261635392004
783,749,34,1500000US261635392005
1097,1077,20,1500000US261635392006
721,721,0,1500000US261635393001
778,778,0,1500000US261635393002
1091,1091,0,1500000US261635393003
1500,1500,0,1500000US261635393004
1401,1362,39,1500000US261635394001
1256,1256,0,1500000US261635394002
1413,1413,0,1500000US261635394003
518,518,0,1500000US261635395001
513,506,7,1500000US261635395002
1168,1168,0,1500000US261635395003
1084,1084,0,1500000US261635395004
980,963,17,1500000US261635396001
1135,1135,0,1500000US261635396002
1414,1341,73,1500000US261635396003
781,781,0,1500000US261635397001
1213,1213,0,1500000US261635397002
1259,1259,0,1500000US261635401001
822,822,0,1500000US261635401002
321,321,0,1500000US261635401003
536,536,0,1500000US261635401004
672,672,0,1500000US261635402001
542,542,0,1500000US261635402002
623,623,0,1500000US261635402003
474,474,0,1500000US261635402004
212,111,101,1500000US261635402005
822,822,0,1500000US261635402006
357,357,0,1500000US261635403001
1029,1029,0,1500000US261635403002
348,348,0,1500000US261635403003
707,707,0,1500000US261635403004
1083,1083,0,1500000US261635403005
374,373,1,1500000US261635404001
879,879,0,1500000US261635404002
934,934,0,1500000US261635404003
696,696,0,1500000US261635404004
1371,1371,0,1500000US261635405001
602,602,0,1500000US261635405002
779,768,11,1500000US261635405003
604,604,0,1500000US261635405004
1033,1033,0,1500000US261635406001
611,594,17,1500000US261635406002
745,745,0,1500000US261635406003
981,930,51,1500000US261635406004
256,151,105,1500000US261635407001
549,481,68,1500000US261635407002
1154,1059,95,1500000US261635407003
1577,1577,0,1500000US261635407004
662,662,0,1500000US261635408001
1778,1769,9,1500000US261635408002
1074,1074,0,1500000US261635409001
915,915,0,1500000US261635409002
479,479,0,1500000US261635409003
1009,1009,0,1500000US261635409004
1268,1268,0,1500000US261635410001
1750,1750,0,1500000US261635410002
1158,1158,0,1500000US261635410003
487,487,0,1500000US261635411001
436,436,0,1500000US261635411002
309,309,0,1500000US261635411003
766,755,11,1500000US261635411004
361,349,12,1500000US261635411005
559,559,0,1500000US261635412001
990,990,0,1500000US261635412002
361,361,0,1500000US261635412003
364,333,31,1500000US261635412004
1035,1024,11,1500000US261635413001
1057,1026,31,1500000US261635413002
780,759,21,1500000US261635413003
494,479,15,1500000US261635414001
1189,1174,15,1500000US261635414002
1210,1210,0,1500000US261635414003
782,782,0,1500000US261635415001
1040,1040,0,1500000US261635415002
721,721,0,1500000US261635415003
1642,1642,0,1500000US261635415004
686,684,2,1500000US261635417001
1815,1758,57,1500000US261635417002
1079,1059,20,1500000US261635418001
1294,1286,8,1500000US261635418002
1115,1115,0,1500000US261635421001
522,512,10,1500000US261635421002
566,566,0,1500000US261635421003
421,421,0,1500000US261635421004
1101,1093,8,1500000US261635421005
379,379,0,1500000US261635421006
540,532,8,1500000US261635422001
837,837,0,1500000US261635422002
570,570,0,1500000US261635422003
788,788,0,1500000US261635422004
509,508,1,1500000US261635422005
763,763,0,1500000US261635423001
543,517,26,1500000US261635423002
683,683,0,1500000US261635423003
644,644,0,1500000US261635424001
906,906,0,1500000US261635424002
1213,1213,0,1500000US261635424003
1123,1082,41,1500000US261635425001
721,721,0,1500000US261635425002
819,819,0,1500000US261635425003
1359,1359,0,1500000US261635426001
1026,1026,0,1500000US261635426002
905,905,0,1500000US261635426003
441,441,0,1500000US261635426004
939,927,12,1500000US261635427001
586,586,0,1500000US261635428001
1273,1273,0,1500000US261635428002
941,933,8,1500000US261635428003
880,880,0,1500000US261635429001
737,737,0,1500000US261635429002
1237,1237,0,1500000US261635429003
999,999,0,1500000US261635429004
1214,1214,0,1500000US261635430001
634,634,0,1500000US261635430002
1085,1085,0,1500000US261635431001
1312,1300,12,1500000US261635431002
1226,1201,25,1500000US261635432001
358,358,0,1500000US261635432002
1264,1264,0,1500000US261635432003
1258,1244,14,1500000US261635434001
1502,1502,0,1500000US261635434002
817,785,32,1500000US261635434003
374,374,0,1500000US261635435001
570,570,0,1500000US261635435002
195,195,0,1500000US261635436001
553,553,0,1500000US261635436002
336,336,0,1500000US261635436003
294,294,0,1500000US261635437001
1837,1797,40,1500000US261635437002
489,456,33,1500000US261635437003
487,431,56,1500000US261635438001
290,273,17,1500000US261635438002
495,487,8,1500000US261635439001
287,279,8,1500000US261635439002
1054,1019,35,1500000US261635440001
1580,1539,41,1500000US261635440002
823,823,0,1500000US261635441001
815,810,5,1500000US261635441002
841,841,0,1500000US261635441003
616,606,10,1500000US261635442001
753,752,1,1500000US261635442002
412,412,0,1500000US261635442003
526,526,0,1500000US261635443001
367,367,0,1500000US261635443002
1495,1484,11,1500000US261635443003
237,237,0,1500000US261635451001
286,286,0,1500000US261635451002
250,250,0,1500000US261635451003
411,411,0,1500000US261635452001
800,800,0,1500000US261635452002
678,678,0,1500000US261635452003
626,626,0,1500000US261635452004
401,401,0,1500000US261635453001
662,662,0,1500000US261635453002
1015,1015,0,1500000US261635453003
1863,1859,4,1500000US261635454001
657,518,139,1500000US261635455001
699,681,18,1500000US261635455002
455,455,0,1500000US261635455003
1055,1055,0,1500000US261635455004
661,661,0,1500000US261635455005
475,475,0,1500000US261635455006
